"","locID","upDist","pid","netID","rid","ratio","shreve","addfunccol","Sim_Values","level","tss","t","tss0","ind","y_obs"
"21",2,30.737124231642,22,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.7760679500125,2,16.6264788335064,0,16.7760679500125
"31",3,22.0627651612401,23,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.0362247356379,2,16.057433804293,0,16.0362247356379
"41",4,23.2209336512328,24,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.7004435731558,2,16.8101250183347,0,16.7004435731558
"51",5,23.0868974979216,25,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.2877277163839,2,18.2282801396423,0,18.2877277163839
"61",6,32.755928357053,26,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.5019909832126,2,14.7231605149833,0,14.5019909832126
"71",7,25.8923229741315,27,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.323656232239,2,15.2351506939731,0,15.323656232239
"81",8,15.2738238193213,28,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.0526274005641,2,17.8743556139608,0,18.0526274005641
"91",9,23.9638140688247,29,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,16.201785349216,2,16.3896841830816,0,16.201785349216
"101",10,8.95060600625836,30,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,16.7526908939241,2,17.0980210095196,0,16.7526908939241
"111",11,21.8639637150567,31,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,14.3896340728257,2,15.4764763411491,0,14.3896340728257
"121",12,31.4837774451569,32,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.3024526539843,2,15.2778828820633,0,15.3024526539843
"131",13,31.0521818563729,33,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,19.7286947469308,2,19.0040140851435,0,19.7286947469308
"141",14,28.8045830294847,34,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,14.8762122926882,2,15.651770944247,0,14.8762122926882
"151",15,21.2029388346528,35,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.7746026541848,2,15.1326029929492,0,14.7746026541848
"161",16,30.3516161996177,36,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.6158174485091,2,16.5057819660179,0,16.6158174485091
"171",17,30.2702846378246,37,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.760122628512,2,13.5453392710889,0,13.760122628512
"181",18,29.022136351376,38,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,16.6306785050384,2,16.1117144903466,0,16.6306785050384
"191",19,30.3823424493467,39,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,15.1008956934426,2,15.2113274810102,0,15.1008956934426
"201",20,31.6720102016959,40,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,16.9800654523697,2,16.4734149993366,0,16.9800654523697
"112",1,29.471736440136,41,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,17.0086669933558,3,16.3630459376009,0,17.0086669933558
"22",2,30.737124231642,42,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.9343075593403,3,16.6264788335064,0,16.9343075593403
"32",3,22.0627651612401,43,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.2741103293697,3,16.057433804293,0,16.2741103293697
"42",4,23.2209336512328,44,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,17.0699460697215,3,16.8101250183347,0,17.0699460697215
"52",5,23.0868974979216,45,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.4218342073462,3,18.2282801396423,0,18.4218342073462
"62",6,32.755928357053,46,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.5498436766419,3,14.7231605149833,0,14.5498436766419
"72",7,25.8923229741315,47,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.1110830728659,3,15.2351506939731,0,15.1110830728659
"82",8,15.2738238193213,48,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.1973813029083,3,17.8743556139608,0,18.1973813029083
"92",9,23.9638140688247,49,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,15.9836885616824,3,16.3896841830816,0,15.9836885616824
"102",10,8.95060600625836,50,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,17.7956259477266,3,17.0980210095196,0,17.7956259477266
"113",11,21.8639637150567,51,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.4433319343538,3,15.4764763411491,0,15.4433319343538
"122",12,31.4837774451569,52,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,14.1546955078622,3,15.2778828820633,0,14.1546955078622
"132",13,31.0521818563729,53,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,18.3929456782992,3,19.0040140851435,0,18.3929456782992
"142",14,28.8045830294847,54,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,15.386608342534,3,15.651770944247,0,15.386608342534
"152",15,21.2029388346528,55,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.0682384495556,3,15.1326029929492,0,14.0682384495556
"162",16,30.3516161996177,56,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.2447521458964,3,16.5057819660179,0,16.2447521458964
"172",17,30.2702846378246,57,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.4631979239541,3,13.5453392710889,0,13.4631979239541
"182",18,29.022136351376,58,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,16.1635799659326,3,16.1117144903466,0,16.1635799659326
"192",19,30.3823424493467,59,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,15.3916706752798,3,15.2113274810102,0,15.3916706752798
"202",20,31.6720102016959,60,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,16.6658939665735,3,16.4734149993366,0,16.6658939665735
"114",1,29.471736440136,61,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.7616965939317,4,16.3630459376009,0,16.7616965939317
"23",2,30.737124231642,62,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.2661904863843,4,16.6264788335064,0,16.2661904863843
"33",3,22.0627651612401,63,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,15.8192505696298,4,16.057433804293,0,15.8192505696298
"43",4,23.2209336512328,64,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,17.6400464522946,4,16.8101250183347,0,17.6400464522946
"53",5,23.0868974979216,65,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.1892649091994,4,18.2282801396423,0,18.1892649091994
"63",6,32.755928357053,66,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.4721446880695,4,14.7231605149833,0,14.4721446880695
"73",7,25.8923229741315,67,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,14.895860471424,4,15.2351506939731,0,14.895860471424
"83",8,15.2738238193213,68,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.1501950980586,4,17.8743556139608,0,18.1501950980586
"93",9,23.9638140688247,69,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,16.2191538719176,4,16.3896841830816,0,16.2191538719176
"103",10,8.95060600625836,70,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,17.0071268996341,4,17.0980210095196,0,17.0071268996341
"115",11,21.8639637150567,71,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.7722033242493,4,15.4764763411491,0,15.7722033242493
"123",12,31.4837774451569,72,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,14.3527352132606,4,15.2778828820633,0,14.3527352132606
"133",13,31.0521818563729,73,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,18.4137725216743,4,19.0040140851435,0,18.4137725216743
"143",14,28.8045830294847,74,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,14.8239846220641,4,15.651770944247,0,14.8239846220641
"153",15,21.2029388346528,75,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.9188268788959,4,15.1326029929492,0,14.9188268788959
"163",16,30.3516161996177,76,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.7638253710863,4,16.5057819660179,0,16.7638253710863
"173",17,30.2702846378246,77,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.6405188586168,4,13.5453392710889,0,13.6405188586168
"183",18,29.022136351376,78,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,15.1782735236524,4,16.1117144903466,0,15.1782735236524
"193",19,30.3823424493467,79,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,14.9705045356916,4,15.2113274810102,0,14.9705045356916
"203",20,31.6720102016959,80,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,17.0219597801263,4,16.4734149993366,0,17.0219597801263
"116",1,29.471736440136,81,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.5694965863727,5,16.3630459376009,0,16.5694965863727
"24",2,30.737124231642,82,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.0683177357476,5,16.6264788335064,0,16.0683177357476
"34",3,22.0627651612401,83,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.6051542248121,5,16.057433804293,0,16.6051542248121
"44",4,23.2209336512328,84,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.7674095946351,5,16.8101250183347,0,16.7674095946351
"54",5,23.0868974979216,85,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.71660351561,5,18.2282801396423,0,18.71660351561
"64",6,32.755928357053,86,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,15.3944788693102,5,14.7231605149833,0,15.3944788693102
"74",7,25.8923229741315,87,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,14.6689760118885,5,15.2351506939731,0,14.6689760118885
"84",8,15.2738238193213,88,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.028439860876,5,17.8743556139608,0,18.028439860876
"94",9,23.9638140688247,89,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,17.3193183149996,5,16.3896841830816,0,17.3193183149996
"104",10,8.95060600625836,90,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,16.4168221534241,5,17.0980210095196,0,16.4168221534241
"117",11,21.8639637150567,91,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.8033875190034,5,15.4764763411491,0,15.8033875190034
"124",12,31.4837774451569,92,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.0224182482847,5,15.2778828820633,0,15.0224182482847
"134",13,31.0521818563729,93,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,19.3704731279317,5,19.0040140851435,0,19.3704731279317
"144",14,28.8045830294847,94,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,14.7774423717115,5,15.651770944247,0,14.7774423717115
"154",15,21.2029388346528,95,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.827095644012,5,15.1326029929492,0,14.827095644012
"164",16,30.3516161996177,96,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.6536201332659,5,16.5057819660179,0,16.6536201332659
"174",17,30.2702846378246,97,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,14.2348695292467,5,13.5453392710889,0,14.2348695292467
"184",18,29.022136351376,98,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,16.7613004238575,5,16.1117144903466,0,16.7613004238575
"194",19,30.3823424493467,99,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,14.4368403875608,5,15.2113274810102,0,14.4368403875608
"204",20,31.6720102016959,100,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,16.1880035165241,5,16.4734149993366,0,16.1880035165241
"118",1,29.471736440136,101,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.2915560919604,6,16.3630459376009,0,16.2915560919604
"25",2,30.737124231642,102,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,17.3244709129167,6,16.6264788335064,0,17.3244709129167
"35",3,22.0627651612401,103,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.2065179965797,6,16.057433804293,0,16.2065179965797
"45",4,23.2209336512328,104,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.0852508399564,6,16.8101250183347,0,16.0852508399564
"55",5,23.0868974979216,105,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.2080060090411,6,18.2282801396423,0,18.2080060090411
"65",6,32.755928357053,106,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.5004052491446,6,14.7231605149833,0,14.5004052491446
"75",7,25.8923229741315,107,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.4070760970793,6,15.2351506939731,0,15.4070760970793
"85",8,15.2738238193213,108,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.4517603471119,6,17.8743556139608,0,18.4517603471119
"95",9,23.9638140688247,109,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,17.0111880808017,6,16.3896841830816,0,17.0111880808017
"105",10,8.95060600625836,110,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,16.8103776260153,6,17.0980210095196,0,16.8103776260153
"119",11,21.8639637150567,111,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.1182634084978,6,15.4764763411491,0,15.1182634084978
"125",12,31.4837774451569,112,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,14.915936686556,6,15.2778828820633,0,14.915936686556
"135",13,31.0521818563729,113,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,19.9288517010384,6,19.0040140851435,0,19.9288517010384
"145",14,28.8045830294847,114,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,14.9149107486035,6,15.651770944247,0,14.9149107486035
"155",15,21.2029388346528,115,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.9732832916718,6,15.1326029929492,0,14.9732832916718
"165",16,30.3516161996177,116,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.6627638085426,6,16.5057819660179,0,16.6627638085426
"175",17,30.2702846378246,117,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.658056186104,6,13.5453392710889,0,13.658056186104
"185",18,29.022136351376,118,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,14.8364760434444,6,16.1117144903466,0,14.8364760434444
"195",19,30.3823424493467,119,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,15.818606253984,6,15.2113274810102,0,15.818606253984
"205",20,31.6720102016959,120,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,17.687555967746,6,16.4734149993366,0,17.687555967746
"120",1,29.471736440136,121,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.4685442618408,7,16.3630459376009,0,16.4685442618408
"26",2,30.737124231642,122,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,16.3500018833404,7,16.6264788335064,0,16.3500018833404
"36",3,22.0627651612401,123,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,16.8826649832756,7,16.057433804293,0,16.8826649832756
"46",4,23.2209336512328,124,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.656220660186,7,16.8101250183347,0,16.656220660186
"56",5,23.0868974979216,125,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.9485139688242,7,18.2282801396423,0,18.9485139688242
"66",6,32.755928357053,126,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.5694225038704,7,14.7231605149833,0,14.5694225038704
"76",7,25.8923229741315,127,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.8583066146759,7,15.2351506939731,0,15.8583066146759
"86",8,15.2738238193213,128,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,17.5538214414814,7,17.8743556139608,0,17.5538214414814
"96",9,23.9638140688247,129,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,16.6176330036771,7,16.3896841830816,0,16.6176330036771
"106",10,8.95060600625836,130,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,18.4135823269065,7,17.0980210095196,0,18.4135823269065
"1110",11,21.8639637150567,131,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.5975249058879,7,15.4764763411491,0,15.5975249058879
"126",12,31.4837774451569,132,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.2236414591047,7,15.2778828820633,0,15.2236414591047
"136",13,31.0521818563729,133,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,20.0630439175027,7,19.0040140851435,0,20.0630439175027
"146",14,28.8045830294847,134,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,16.1937003764776,7,15.651770944247,0,16.1937003764776
"156",15,21.2029388346528,135,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.8432970528104,7,15.1326029929492,0,14.8432970528104
"166",16,30.3516161996177,136,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,16.311794772878,7,16.5057819660179,0,16.311794772878
"176",17,30.2702846378246,137,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.5156692199139,7,13.5453392710889,0,13.5156692199139
"186",18,29.022136351376,138,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,16.1979685351202,7,16.1117144903466,0,16.1979685351202
"196",19,30.3823424493467,139,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,15.5152103133952,7,15.2113274810102,0,15.5152103133952
"206",20,31.6720102016959,140,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,16.4337294568649,7,16.4734149993366,0,16.4337294568649
"127",1,29.471736440136,141,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.6707420971572,8,16.3630459376009,0,16.6707420971572
"27",2,30.737124231642,142,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,17.0957580345747,8,16.6264788335064,0,17.0957580345747
"37",3,22.0627651612401,143,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,15.8284413296791,8,16.057433804293,0,15.8284413296791
"47",4,23.2209336512328,144,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,16.8159136327086,8,16.8101250183347,0,16.8159136327086
"57",5,23.0868974979216,145,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.5285298791811,8,18.2282801396423,0,18.5285298791811
"67",6,32.755928357053,146,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,14.3642169009394,8,14.7231605149833,0,14.3642169009394
"77",7,25.8923229741315,147,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.6406187748702,8,15.2351506939731,0,15.6406187748702
"87",8,15.2738238193213,148,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,18.2682340045195,8,17.8743556139608,0,18.2682340045195
"97",9,23.9638140688247,149,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,17.3100294062127,8,16.3896841830816,0,17.3100294062127
"107",10,8.95060600625836,150,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,17.9763698651505,8,17.0980210095196,0,17.9763698651505
"1111",11,21.8639637150567,151,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,16.1321381988827,8,15.4764763411491,0,16.1321381988827
"128",12,31.4837774451569,152,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.5357211652369,8,15.2778828820633,0,15.5357211652369
"137",13,31.0521818563729,153,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,18.8110266902234,8,19.0040140851435,0,18.8110266902234
"147",14,28.8045830294847,154,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,15.7145419893265,8,15.651770944247,0,15.7145419893265
"157",15,21.2029388346528,155,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.5826291405317,8,15.1326029929492,0,14.5826291405317
"167",16,30.3516161996177,156,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,15.6972461351222,8,16.5057819660179,0,15.6972461351222
"177",17,30.2702846378246,157,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.615417268232,8,13.5453392710889,0,13.615417268232
"187",18,29.022136351376,158,"1","1436",0.532850263174623,1,0.001,10.6658210890872,10.6658210890872,15.8200001738725,8,16.1117144903466,0,15.8200001738725
"197",19,30.3823424493467,159,"1","1149",0.696436576079577,1,0.001,9.53132071344084,9.53132071344084,16.1197793250948,8,15.2113274810102,0,16.1197793250948
"207",20,31.6720102016959,160,"1","1514",0.856525672832504,1,0.001,9.6794912703403,9.6794912703403,17.2473731405291,8,16.4734149993366,0,17.2473731405291
"129",1,29.471736440136,161,"1","1899",0.205482770688832,1,0.001,9.2792965255574,9.2792965255574,16.7042228185121,9,16.3630459376009,0,16.7042228185121
"28",2,30.737124231642,162,"1","1702",0.492037729592994,1,0.001,10.9724272217197,10.9724272217197,17.6125599024733,9,16.6264788335064,0,17.6125599024733
"38",3,22.0627651612401,163,"1","521",0.333405455807224,2,0.002,10.3844891319815,10.3844891319815,15.0537236932224,9,16.057433804293,0,15.0537236932224
"48",4,23.2209336512328,164,"1","871",0.210985886864364,2,0.002,10.6120715781262,10.6120715781262,17.1284194454462,9,16.8101250183347,0,17.1284194454462
"58",5,23.0868974979216,165,"1","811",0.068579793674871,2,0.002,12.8206641475793,12.8206641475793,18.2514824897328,9,18.2282801396423,0,18.2514824897328
"68",6,32.755928357053,166,"1","1784",0.881160406162962,1,0.001,9.38264415432081,9.38264415432081,15.458076878881,9,14.7231605149833,0,15.458076878881
"78",7,25.8923229741315,167,"1","977",0.630381611874327,2,0.002,9.14849023994497,9.14849023994497,15.2291180562334,9,15.2351506939731,0,15.2291180562334
"88",8,15.2738238193213,168,"1","221",0.004999925848097,8,0.008,11.9171588996673,11.9171588996673,17.344974777634,9,17.8743556139608,0,17.344974777634
"98",9,23.9638140688247,169,"1","881",0.364043607376516,2,0.002,11.1356569020008,11.1356569020008,16.5093561582773,9,16.3896841830816,0,16.5093561582773
"108",10,8.95060600625836,170,"1","30",0.365083808545023,40,0.04,11.7305230090092,11.7305230090092,17.4244574427044,9,17.0980210095196,0,17.4244574427044
"1112",11,21.8639637150567,171,"1","723",0.006795942783356,2,0.002,8.26372361328693,8.26372361328693,15.104525743584,9,15.4764763411491,0,15.104525743584
"1210",12,31.4837774451569,172,"1","1632",0.791592161171138,1,0.001,6.85372967990048,6.85372967990048,15.7896791214538,9,15.2778828820633,0,15.7896791214538
"138",13,31.0521818563729,173,"1","1708",0.57261542417109,1,0.001,15.3327754327416,15.3327754327416,19.2449502323108,9,19.0040140851435,0,19.2449502323108
"148",14,28.8045830294847,174,"1","1564",0.414148636627942,1,0.001,9.5828562034029,9.5828562034029,16.2140607991513,9,15.651770944247,0,16.2140607991513
"158",15,21.2029388346528,175,"1","435",0.768182132160291,4,0.004,6.59947203656725,6.59947203656725,14.6916602238169,9,15.1326029929492,0,14.6916602238169
"168",16,30.3516161996177,176,"1","1476",0.630008424399421,1,0.001,9.6580837505327,9.6580837505327,15.4561099725869,9,16.5057819660179,0,15.4561099725869
"178",17,30.2702846378246,177,"1","1135",0.792948718415573,1,0.001,7.42560261955035,7.42560261955035,13.3754266264785,9,13.5453392710889,0,13.3754266264785
